,SKU,Product_Name,Product_Category,Price,Promo_Start_Date,Promo_End_Date,Comparison_Price,Comparison_Price_Type,Buy_Box_Item_Price,Buy_Box_Eligible,MSRP,Product_Tax_Code,Ship_Methods,Shipping_Weight,Fulfillment_Type,WFS_Sales_Restriction,Shelf_Name,Primary_Category_Path,Brand,Offer_Start_Date,Offer_End_Date,Item_Creation_Date,Reviews_Count,Average_Rating,Competitor_Price,Competitor_Ship_Price,Cost
0,028400043816-C-F-L1-12.99,Sun Chips Whole Grain Snacks Variety Mix 30 Bags Net 45 OZ,Food & Beverage,39.99,1970-01-01,1970-01-01,30.98,Was Price,39.99,Yes,48.99,2040210,NETWORK_GEO,3.0,Seller Fulfilled,no restrictions,Healthy Snacks,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Chips"",""Healthy Snacks""]",SunChips,2022-08-29,2041-09-12,2018-04-06,6,3.5,42.91,-1.0,15.996000000000002
1,096619461769-C-P-L1-11.49,Kirkland Signature Organic Balsamic Vinegar 1 Liter (33.81 Fluid Ounce),Food & Beverage,25.99,1970-01-01,1970-01-01,28.95,Was Price,26.95,Yes,57.3,2038305,NETWORK_GEO,2.2,WFS Eligible,no restrictions,Vinegars & cooking wines,"[""Home Page"",""Food"",""Pantry"",""Cooking oils & vinegar"",""Vinegars & cooking wines""]",Kirkland Signature,2022-11-13,2049-11-13,2021-03-02,0,0.0,27.7,0.0,10.396
2,794297801814-CB-P-L1-46.99,20 oz Coke cup with logo,Other,103.99,1970-01-01,1970-01-01,103.99,Was Price,103.99,Yes,140.23,2038710,NETWORK_GEO,20.0,Seller Fulfilled,no restrictions,Coffee Mugs,"[""Home Page"",""Home"",""Kitchen & Dining"",""Dining & Entertaining"",""Drinkware"",""Coffee Mugs""]",Generic,2023-05-27,2049-12-31,2022-07-29,0,0.0,0.0,0.0,41.596000000000004
3,096619067237-CB-F-L1-13.99,Kirkland Signature Trail Mix Snack Packs 2 Ounce (Pack of 28),Food & Beverage,29.75,1970-01-01,1970-01-01,37.95,List Price,31.95,Yes,43.61,2038305,ALWAYS_TWO_DAY,3.5,WFS Eligible,no restrictions,Trail Mix,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Trail Mix""]",Kirkland Signature,2017-09-26,2041-09-26,2021-07-12,1,4.0,39.99,0.0,11.9
4,300410011574-C-P-L1-14.99,Lot of 8 Oral B CrossAction Advanced Soft Toothbrushes w Maxi Clean Bristless,"Beauty, Personal Care, & Hygiene",20.99,1970-01-01,1970-01-01,19.99,Was Price,24.99,Yes,29.99,2038710,ALWAYS_TWO_DAY,0.5,WFS Eligible,no restrictions,Oral B Toothbrushes,"[""Home Page"",""Personal Care"",""Oral Care"",""Toothbrushes"",""Oral B Toothbrushes""]",Oral-B,2022-09-16,2049-09-27,2022-05-05,0,0.0,19.9,0.0,8.395999999999999
5,Halley-Hera-Washcloth10-Brown,"HALLEY Turkish Washcloths Set - 10 Pieces Washcloths Set, Ultra Soft, Machine Washable, Highly Absorbent, 100% Cotton - Beige","Home Decor, Kitchen, & Other",17.99,1970-01-01,1970-01-01,17.99,Was Price,17.99,Yes,0.0,2039973,ALWAYS_TWO_DAY,0.95,Walmart Fulfilled,no restrictions,UNNAV,"[""UNNAV""]",HALLEY,2023-09-09,2049-12-25,2023-09-18,0,0.0,17.99,0.0,7.196
6,02096385608-S-P-L1-99.98,"SEIKO Golden Trellis Clock, Brown","Home Decor, Kitchen, & Other",148.0,1970-01-01,1970-01-01,174.99,Was Price,174.99,Yes,299.99,2038710,NETWORK_GEO,6.0,Seller Fulfilled,no restrictions,Clocks Shop All,"[""Home Page"",""Home"",""Decor"",""Clocks"",""Clocks Shop All""]",Seiko,2022-09-18,2042-09-15,2021-09-28,8,3.5,174.99,0.0,59.2
7,025700712718-WD-F-L1-2.99,"Ziploc Storage Bags, Gallon, 120 Ct",Storage,26.85,1970-01-01,1970-01-01,26.92,Was Price,24.99,Yes,13.19,2038710,NETWORK_GEO,0.4,WFS Eligible,no restrictions,Ziploc Bags,"[""Home Page"",""Household Essentials"",""Paper & Plastic"",""Food Storage Bags"",""Ziploc Bags""]",Ziploc,2024-02-15,2049-12-31,2016-10-19,1302,4.7,23.0,6.99,10.740000000000002
8,0686754376198-L2,"Bioblas Garlic Hair Loss Shampoo for Men and Women with Organic Oil, Unscented, Halal, All Hair Types, 13 oz - 2 Pack","Beauty, Personal Care, & Hygiene",17.99,1970-01-01,1970-01-01,16.99,Was Price,17.99,Yes,0.0,2048134,NETWORK_GEO,1.6,WFS Eligible,no restrictions,Mens Hair Care,"[""Home Page"",""Personal Care"",""Men's Essentials"",""Mens Hair Care""]",BIOBLAS,2021-01-07,2030-12-24,2021-01-15,25,4.3,17.99,0.0,7.196
9,812130020564-S-WM-L1-15.98,Truvia Natural Sweetener (400 Count),Food & Beverage,27.96,1970-01-01,1970-01-01,23.94,Was Price,21.5,Yes,40.49,2038305,ALWAYS_TWO_DAY,3.6,Walmart Fulfilled,no restrictions,Sweeteners,"[""Home Page"",""Food"",""Baking"",""Baking Ingredients"",""Sugar"",""Sweeteners""]",Truvia,2024-01-17,2049-12-31,2018-10-17,8550,4.8,0.0,0.0,11.184000000000001
10,869125000100-CB-P-L1-13.98,Red Boat 40 Degrees N Premium Fish Sauce 17 Fl. Oz. (Pack of 2),Food & Beverage,29.99,1970-01-01,1970-01-01,28.99,Was Price,28.99,Yes,34.99,2038305,ALWAYS_TWO_DAY,10.0,WFS Eligible,no restrictions,Shop all sauces,"[""Home Page"",""Food"",""Pantry"",""Sauces & marinades"",""Sauces"",""Shop all sauces""]",Red Boat,2023-02-02,2049-12-31,2019-02-06,5,4.2,24.99,0.0,11.996
11,00651281140604-C-P-L1-31.98,Kirkland Signature Premium Dog Biscuits Chicken Meal & Rice Formula 15 LB(Pack of 2),Animal Other,73.5,1970-01-01,1970-01-01,73.5,Was Price,73.5,Yes,0.0,2048966,NETWORK_GEO,1.0,Seller Fulfilled,no restrictions,All Dog Food,"[""Home Page"",""Pets"",""Dogs"",""Dog Food"",""All Dog Food""]",Kirkland Signature,2022-05-27,2049-09-03,2019-07-15,0,0.0,64.99,0.0,29.400000000000002
12,027800100259-C-WM-12.99,"Mothers Original Caddies Cookies Circus Animals, 1 oz, 30 Count",Food & Beverage,24.47,1970-01-01,1970-01-01,25.39,Was Price,21.99,Yes,12.18,2050078,ALWAYS_TWO_DAY,1.87,WFS Eligible,no restrictions,Cookies,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Cookies"",""Cookies""]",Mothers,2024-02-22,2049-12-31,2017-10-06,264,4.4,23.42,0.0,9.788
13,044600308142-C-P-L1-14.69,Clorox ToiletWand Disposable Toilet Cleaning System with 36 Refills,Other,28.9,1970-01-01,1970-01-01,27.39,Was Price,24.48,Yes,49.99,2038710,ALWAYS_TWO_DAY,1.34,WFS Eligible,no restrictions,Clorox Toiletwand,"[""Home Page"",""Household Essentials"",""Household Essentials by Brand"",""Clorox"",""Clorox Bathroom Cleaners"",""Clorox Toiletwand""]",Clorox,2022-08-07,2049-06-30,2019-02-15,4,5.0,15.48,0.0,11.56
14,050696007777-C-P-L1-1.97,Bavarian Meats Lil' Landjaeger Gluten & MSG Free Zero Sugar Hardwood Smoked Beef & Pork Sticks 16 Oz Resealable Bag,Food & Beverage,21.95,1970-01-01,1970-01-01,25.49,Was Price,23.99,Yes,0.0,2049717,ALWAYS_TWO_DAY,1.0,WFS Eligible,no restrictions,Meat Sticks,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Beef Jerky and Dried Meats"",""Meat Sticks""]",Bavarian Meats,2023-08-14,2049-12-31,2023-05-23,0,0.0,23.98,0.0,8.78
15,086279175229-S-P-L1-19.98,Cuisinart Grills Sandwich Maker,"Home Decor, Kitchen, & Other",29.0,1970-01-01,1970-01-01,40.0,List Price,25.62,Yes,40.0,2038710,ALWAYS_TWO_DAY,3.0,WFS Eligible,no restrictions,Sandwich Makers & Panini Press,"[""Home Page"",""Home"",""Appliances"",""Kitchen Appliances"",""Electric Grills & Skillets"",""Sandwich Makers & Panini Press""]",Cuisinart,2023-12-17,2049-12-30,2020-09-15,146,4.2,24.95,0.0,11.600000000000001
16,309970165765-bstock-sun beige,"Almay Clear Complexion Foundation Makeup, Hypoallergenic, 600 Sun Beige, 1 fl oz","Beauty, Personal Care, & Hygiene",12.5,1970-01-01,1970-01-01,19.12,Was Price,7.32,Yes,99.99,2048134,ALWAYS_TWO_DAY,0.15,Walmart Fulfilled,no restrictions,All Makeup,"[""Home Page"",""Beauty"",""Makeup"",""All Makeup""]",Almay,2024-01-11,2049-12-30,2021-09-28,0,0.0,7.32,0.0,5.0
17,Halley-Hairtowel-Black-White-Grey,"HALLEY Cotton Hair Towel Wrap – 3 Packs Super Absorbent, Anti Frizz Fast Drying Hair Towel for Curly Long Thick Hair – Hair Turbans for Wet Hair with Button – Hair Plopping Towel (Black, White, Grey)","Home Decor, Kitchen, & Other",12.5,1970-01-01,1970-01-01,12.5,Was Price,12.5,Yes,0.0,2039973,ALWAYS_TWO_DAY,0.62,Walmart Fulfilled,no restrictions,Hair Towels,"[""Home Page"",""Home"",""Bath"",""Bath Towels"",""Hair Towels""]",HALLEY,2023-11-10,2049-12-29,2023-11-12,0,0.0,0.0,0.0,5.0
18,Halley-Lux-Washcloth6-DarkBlue,"HALLEY 100% Turkish Cotton Washcloths for Body, Face, Bathroom, Hotel, Spa & Kitchen - Super Soft & Highly Absorbent Fingertip Towels - Luxury Wash Cloths (Pack of 6 - Dark Blue)","Home Decor, Kitchen, & Other",15.49,1970-01-01,1970-01-01,15.49,Was Price,15.49,Yes,0.0,2039973,ALWAYS_TWO_DAY,0.7,Walmart Fulfilled,no restrictions,Fingertip Towels,"[""Home Page"",""Home"",""Bath"",""Bath Towels"",""Fingertip Towels""]",HALLEY,2023-09-18,2049-12-27,2023-09-22,0,0.0,15.49,0.0,6.196000000000001
19,028400232005-C-P-L1-18.99,"Frito Lay Oven Baked Mix, Variety Pack, 30 Count",Food & Beverage,38.99,1970-01-01,1970-01-01,33.72,Was Price,38.99,Yes,58.97,2038305,NETWORK_GEO,5.0,Seller Fulfilled,no restrictions,Holiday Baking Mixes,"[""Home Page"",""Food"",""Baking"",""Easy to Make"",""Holiday Baking Mixes""]",Frito-Lay,2022-09-18,2049-12-31,2021-01-11,5,5.0,30.99,0.0,15.596000000000002
20,072108248011-CB-F-L1-9.99,MoonPie Chocolate Double Decker MoonPies (24 Count),Food & Beverage,26.99,1970-01-01,1970-01-01,47.1,Was Price,46.7,Yes,38.8,2050078,NETWORK_GEO,4.0,Seller Fulfilled,no restrictions,Shop All Cookies,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Cookies"",""Shop All Cookies""]",Moon Pie,2023-05-25,2049-12-31,2018-10-24,347,4.6,39.99,0.0,10.796
21,839138007007-CB-P-L3-17.99,"Fit Crunch Snack Size Protein Bar, Chocolate Peanut Butter, 16g Protein, 18 ct.",Food & Beverage,32.75,1970-01-01,1970-01-01,32.99,Was Price,31.95,Yes,29.99,2048880,ALWAYS_TWO_DAY,2.0,Walmart Fulfilled,no restrictions,Protein Bars,"[""Home Page"",""Health and Medicine"",""Protein"",""Protein Bars"",""Protein Bars""]",FITCRUNCH,2022-08-18,2049-12-29,2018-10-11,7,4.4,19.99,0.0,13.100000000000001
22,Halley-Soldier-Set4-Turquaz,"HALLEY Decorative Bath Towels Set, 4 Piece - Turkish Towel Set with Floral Pattern, Highly Absorbent & Fade Resistant Fabric, 100% Cotton - Turquoise","Home Decor, Kitchen, & Other",22.94,2023-06-20,2023-08-31,26.99,Was Price,22.94,Yes,0.0,2039973,ALWAYS_TWO_DAY,1.8,Walmart Fulfilled,no restrictions,Bath Towels,"[""Home Page"",""Home"",""Bath"",""Bath Towels""]",HALLEY,2020-10-29,2049-12-23,2020-11-06,0,0.0,22.94,0.0,9.176
23,016017135550-C-WM-18.99,Tramontina Gourmet Stainless Steel Colander Set 3 piece - NEW,"Home Decor, Kitchen, & Other",40.9,1970-01-01,1970-01-01,84.97,Was Price,34.99,Yes,0.0,2038710,ALWAYS_TWO_DAY,3.9,Walmart Fulfilled,no restrictions,Food Strainers & Colanders,"[""Home Page"",""Home"",""Kitchen & Dining"",""Tools & Gadgets"",""Kitchen Tools & Gadgets"",""Food Strainers & Colanders""]",Tramontina,2024-02-22,2049-12-31,2021-01-15,41,4.9,34.03,0.0,16.36
24,017082010018-S-P-L1-14.98,Jack Links Original Tender Style Beef Steak 0.8 Ounce (15 Count),Food & Beverage,24.3,1970-01-01,1970-01-01,23.59,Was Price,24.3,Yes,37.61,2049717,ALWAYS_TWO_DAY,1.2,Walmart Fulfilled,no restrictions,All Beef Jerky,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Beef Jerky and Dried Meats"",""Beef Jerky"",""All Beef Jerky""]",Jack Link's,2024-02-05,2049-12-31,2022-02-09,529,4.4,14.98,-1.0,9.72
25,028000743079-C-P-L1-31.89,"2 Pack | Nescafe Taster's Choice Instant Coffee, House Blend, 14 oz",Other,34.9,1970-01-01,1970-01-01,37.99,Was Price,37.99,Yes,0.0,2038305,ALWAYS_TWO_DAY,1.0,WFS Eligible,no restrictions,All Instant Coffee,"[""Home Page"",""Food"",""Coffee"",""Instant Coffee"",""All Instant Coffee""]",NESCAFÉ,2022-10-17,2049-10-17,2020-07-08,1,1.0,34.9,0.0,13.96
26,042000559393-CB-F-L1-17.49,"Marathon Dinner Napkin, 1/8 Fold, 2-Ply, 300-count, 3-pack","Home Decor, Kitchen, & Other",39.99,1970-01-01,1970-01-01,39.74,Was Price,39.74,Yes,0.0,2038610,NETWORK_GEO,10.0,Seller Fulfilled,no restrictions,UNNAV,"[""UNNAV""]",Marathon,2023-07-07,2049-12-31,2022-02-16,0,0.0,0.0,0.0,15.996000000000002
27,086279208842-S-P-L1-99.98,"Cuisinart ICE-45 Mix It In Soft Serve 1-1/2-Quart Ice Cream Maker, White","Home Decor, Kitchen, & Other",129.95,1970-01-01,1970-01-01,189.9,Was Price,94.5,Yes,185.0,2038710,ALWAYS_TWO_DAY,10.0,WFS Eligible,no restrictions,Cuisinart Ice Cream Makers,"[""Home Page"",""Home"",""Appliances"",""Kitchen Appliances"",""Ice Cream & Dessert Makers"",""Cuisinart Ice Cream Makers""]",Cuisinart,2023-01-13,2049-12-31,2015-12-23,2705,4.5,149.74,0.0,51.98
28,096619336753-C-P-L1-9.99,Kirkland Signature Peanut Butter Filled Pretzel Nuggets 55 Ounce,Food & Beverage,23.25,1970-01-01,1970-01-01,25.19,Was Price,23.5,Yes,34.49,2040210,ALWAYS_TWO_DAY,3.44,WFS Eligible,no restrictions,Peanut Butter Pretzels,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Pretzels"",""Peanut Butter Pretzels""]",Kirkland Signature,2022-08-07,2049-08-30,2019-01-30,3,2.7,11.99,0.0,9.3
29,309970038991-bstock-extra spicy,"Revlon Super Lustrous Creme Lipstick, Creamy Formula, 761 Extra Spicy","Beauty, Personal Care, & Hygiene",7.1,1970-01-01,1970-01-01,6.48,List Price,6.52,Yes,28.04,2048134,ALWAYS_TWO_DAY,1.0,Walmart Fulfilled,no restrictions,Lipstick,"[""Home Page"",""Beauty"",""Makeup"",""Lip Makeup"",""Lipstick""]",Revlon,2023-12-14,2049-12-30,2019-08-08,2997,4.4,10.22,0.0,2.84
30,371127316597-C-WM-10.99,Kirkland Signature Crepes French Biscuits in Milk Chocolate (Glod Box) 20 oz,"Home Decor, Kitchen, & Other",32.0,1970-01-01,1970-01-01,32.99,Was Price,32.99,Yes,0.0,2050078,ALWAYS_TWO_DAY,1.25,WFS Eligible,no restrictions,Shop All Cookies,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Cookies"",""Shop All Cookies""]",Kirkland Signature,2024-02-29,2049-12-31,2023-11-11,0,0.0,0.0,0.0,12.8
31,696464130409-C-P-L1-10.99,Alka-Seltzer Original Antacid Effervescent Tablets (116 ct.),Medicine & Supplements,24.89,1970-01-01,1970-01-01,25.89,Was Price,38.9,Yes,0.0,2038754,ALWAYS_TWO_DAY,0.5,WFS Eligible,no restrictions,Alka Seltzer,"[""Home Page"",""Health and Medicine"",""Digestive Health"",""Antacids and Heartburn Relief"",""Alka Seltzer""]",Alka-Seltzer,2023-12-28,2049-12-30,2019-04-11,420,4.4,19.3,0.0,9.956000000000001
32,860007286995-S-P-L1-43.98,"RAW Whey Isolate Protein Powder, Dark Chocolate, 100% Grass-Fed (25 Servings)",Sport & Recreation Other,45.59,1970-01-01,1970-01-01,45.58,Was Price,44.97,Yes,0.0,2048154,ALWAYS_TWO_DAY,1.0,Walmart Fulfilled,no restrictions,Whey Protein,"[""Home Page"",""Health and Medicine"",""Protein"",""Protein Powder"",""Whey Protein""]",RAW,2023-12-27,2049-12-30,2022-02-25,241,4.4,49.49,0.0,18.236
33,9310072034935-S-F-L1-10.98,"Tim Tam Original Chocolate Cookies (0.63 oz., 30 pk.)",Food & Beverage,27.9,1970-01-01,1970-01-01,29.0,List Price,24.67,Yes,29.0,2050078,ALWAYS_TWO_DAY,4.0,Seller Fulfilled,no restrictions,Shop All Cookies,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Cookies"",""Shop All Cookies""]",Arnott's,2024-03-14,2049-12-31,2024-02-04,0,0.0,27.99,0.0,11.16
34,Halley-Hera-Bath2-Gray,"HALLEY Turkish Bath Towels Set - 2 Pack Bathroom Set, Ultra Soft, Machine Washable, Highly Absorbent, 100% Cotton - Luxury Spa Quality - Gray","Home Decor, Kitchen, & Other",21.67,1970-01-01,1970-01-01,25.5,Was Price,21.67,Yes,0.0,2039973,ALWAYS_TWO_DAY,4.4,Walmart Fulfilled,no restrictions,Bath Towels,"[""Home Page"",""Home"",""Bath"",""Bath Towels""]",HALLEY,2020-10-23,2049-12-24,2020-10-30,0,0.0,21.67,0.0,8.668000000000001
35,Halley-Lux-Bath2- DarkBlue,"Halley Bath Towels 2-Pack - 100% Turkish Cotton Ultra Soft, Absorbent Bathroom Towels - Machine Washable - Dark Blue","Home Decor, Kitchen, & Other",32.99,1970-01-01,1970-01-01,32.99,Was Price,32.99,Yes,0.0,2039973,ALWAYS_TWO_DAY,4.2,Walmart Fulfilled,no restrictions,Bath Towels,"[""Home Page"",""Home"",""Bath"",""Bath Towels""]",HALLEY,2021-09-17,2049-12-20,2021-09-28,0,0.0,32.99,0.0,13.196000000000002
36,Halley-Lux-Set4-Coral-L1,"HALLEY Bath Towels 4-Piece Set - 100% Turkish Cotton Ultra Soft, Absorbent Bathroom Towels - Set Includes 1 Bath Towel, 1 Hand Towel, 2 Washcloths - Luxury Quality, Machine Washable - Coral","Home Decor, Kitchen, & Other",23.99,1970-01-01,1970-01-01,23.99,Was Price,23.99,Yes,0.0,2039973,ALWAYS_TWO_DAY,3.45,Walmart Fulfilled,no restrictions,Turkish Towels,"[""Home Page"",""Home"",""Bath"",""Bath Towels"",""Turkish Towels""]",HALLEY,2023-09-13,2049-09-24,2023-09-22,0,0.0,23.99,0.0,9.596
37,R28159GBN-bstock-29.16,Kohler R28159-G-BN 2-in-1 Multifunction Showering Combo Kit - Polished Crome,"Beauty, Personal Care, & Hygiene",49.9,1970-01-01,1970-01-01,39.99,Was Price,47.8,Yes,107.0,2038710,ALWAYS_TWO_DAY,4.0,Walmart Fulfilled,no restrictions,All Shower Heads,"[""Home Page"",""Home Improvement"",""Bathroom Renovation"",""Bathroom Cabinets & Fixtures"",""Shower Heads"",""All Shower Heads""]",Kohler,2023-09-22,2049-12-31,2020-08-08,0,0.0,20.41,0.0,19.96
38,fin-kir-red,"HARVEAST Hand Crank Nutcracker Tool for Hazelnuts, Walnut Cracker for All Nuts, Pistachios and Filbert Nuts, Brazil Nuts, Almond, Nut Crackers, Portable, Adjustable, All Metal - Red","Home Decor, Kitchen, & Other",64.99,1970-01-01,1970-01-01,64.99,Was Price,64.99,Yes,0.0,2038710,ALWAYS_TWO_DAY,4.6,WFS Eligible,no restrictions,Kitchen Nutcrackers,"[""Home Page"",""Home"",""Kitchen & Dining"",""Tools & Gadgets"",""Kitchen Tools & Gadgets"",""Kitchen Nutcrackers""]",HARVEAST,2022-11-13,2049-12-29,2022-11-15,0,0.0,64.99,0.0,25.996
39,044000042417-C-P-L1-7.89,"Product of Nabisco Ritz Crackers, 61.6 oz. (18 pk.) - Crackers [Bulk Savings]",Other,29.99,1970-01-01,1970-01-01,23.39,Was Price,23.39,Yes,8.99,2040210,NETWORK_GEO,5.0,Seller Fulfilled,no restrictions,Snack Crackers,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Crackers"",""Snack Crackers""]",unknown,2021-05-18,2040-12-11,2021-12-17,0,0.0,18.19,0.0,11.996
40,051000272898-S-P-L1-11.44,"SpaghettiOs Canned Pasta with Meatballs, 15.6 oz Can (Pack of 12)",Food & Beverage,29.0,1970-01-01,1970-01-01,0.0,Was Price,23.32,Yes,10.86,2038305,ALWAYS_TWO_DAY,0.39,Walmart Fulfilled,no restrictions,Shop all microwave food,"[""Home Page"",""Food"",""Pantry"",""Packaged meals & Side dishes"",""Microwave food"",""Shop all microwave food""]",SpaghettiOs,2023-08-05,2049-12-31,2019-06-11,1214,4.6,22.94,0.0,11.600000000000001
41,086279201782-bstock-cuisinart easypop,"Cuisinart EasyPop Hot Air Popcorn Maker, Red","Home Decor, Kitchen, & Other",35.99,1970-01-01,1970-01-01,33.1,Was Price,33.1,Yes,70.0,2038710,ALWAYS_TWO_DAY,2.0,WFS Eligible,no restrictions,Shop All Popcorn Machines,"[""Home Page"",""Home"",""Appliances"",""Kitchen Appliances"",""Popcorn Machines"",""Shop All Popcorn Machines""]",Cuisinart,2024-01-10,2049-12-30,2022-10-26,62,4.1,33.01,0.0,14.396
42,309976734125-bstock-purple,"Revlon ColorStay Waterproof Eyeliner Pencil, 24HR Wear, Built-in Sharpener, 209 Black Violet, 0.01 oz","Beauty, Personal Care, & Hygiene",7.14,1970-01-01,1970-01-01,9.99,Was Price,9.99,Yes,8.1,2048134,ALWAYS_TWO_DAY,0.75,WFS Eligible,no restrictions,Makeup Best Sellers,"[""Home Page"",""Beauty"",""Beauty Best Sellers"",""Makeup Best Sellers""]",Revlon,2023-12-14,2049-12-30,2016-07-16,2,3.5,7.49,0.0,2.856
43,778024900278-WM-C-6.99,Jerky Treats American Beef Dog Snacks 60 oz,Animal Food,23.98,1970-01-01,1970-01-01,23.99,Was Price,23.49,Yes,0.0,2048966,ALWAYS_TWO_DAY,5.0,WFS Eligible,no restrictions,All Dog Treats,"[""Home Page"",""Pets"",""Dogs"",""Dog Treats"",""All Dog Treats""]",Jerky Treats,2024-02-05,2049-12-31,2021-03-19,3,5.0,18.58,0.0,9.592
44,096619071838-C-F-L2-49.98,"Kirkland Signature Dental Chews Dog Treats, 72 Box Count - 2 Pack",Other,76.49,1970-01-01,1970-01-01,76.49,Was Price,76.49,Yes,74.95,2048966,NETWORK_GEO,10.34,Seller Fulfilled,no restrictions,All Dog Dental Care,"[""Home Page"",""Pets"",""Dogs"",""Dog Health and Wellness"",""Dog Dental Care"",""All Dog Dental Care""]",Kirkland Signature,2022-03-21,2049-12-30,2021-10-04,0,0.0,79.0,0.0,30.596
45,097855145697-C-F-L1-29.99,Logitech M720 Triathlon Multi-Device Wireless Mouse With Hyper-Fast Scrolling - Full-size Mouse - Optical - Wireless - Bluetooth/Radio Frequency - 2.40 GHz - Black - USB - 1000 dpi - Tilt Wheel - 8...,Computer Components,27.55,1970-01-01,1970-01-01,52.0,Was Price,37.9,Yes,0.0,2040005,ALWAYS_TWO_DAY,0.4,WFS Eligible,no restrictions,Wireless Mouse,"[""Home Page"",""Electronics"",""Computers, Laptops and Tablets"",""Computer Accessories"",""Computer Keyboards & Mice"",""Computer Mouse & Mouse Pads"",""Wireless Mouse""]",Logitech,2022-02-28,2049-02-24,2020-02-21,4,4.8,37.9,0.0,11.020000000000001
46,816512015179-C-P-L1-1.97,"Creative Snacks Pumpkin Spice Yogurt Pretzels, 26 Ounce","Home Decor, Kitchen, & Other",12.94,1970-01-01,1970-01-01,12.54,Was Price,12.54,Yes,26.47,2040210,ALWAYS_TWO_DAY,1.85,WFS Eligible,no restrictions,All Pretzels,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Pretzels"",""All Pretzels""]",Creative Snacks,2022-11-16,2049-11-16,2016-09-16,17,4.7,32.98,0.0,5.176
47,Halley-Hera-Set8-Blue,"HALLEY Turkish Bath Towels Set - 8 Piece Bathroom Set, Ultra Soft, Machine Washable, Highly Absorbent, 100% Cotton - Luxury Spa Quality - Blue","Home Decor, Kitchen, & Other",32.99,1970-01-01,1970-01-01,33.99,Was Price,32.99,Yes,0.0,2039973,ALWAYS_TWO_DAY,3.38,WFS Eligible,no restrictions,Bath Towels,"[""Home Page"",""Home"",""Bath"",""Bath Towels""]",HALLEY,2020-11-13,2049-12-20,2021-01-25,2,5.0,32.99,0.0,13.196000000000002
48,014100054023-C-P-L1-11.69,"Pepperidge Farm Milano Cookies, Double Dark Chocolate, 30 Packs, 2 Cookies per Pack",Food & Beverage,21.46,1970-01-01,1970-01-01,20.99,Was Price,24.95,Yes,0.0,2050078,ALWAYS_TWO_DAY,6.0,WFS Eligible,no restrictions,Shop All Cookies,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Cookies"",""Shop All Cookies""]",Pepperidge Farm,2024-02-06,2049-12-31,2023-03-04,836,4.8,21.46,0.0,8.584000000000001
49,096619177677-C-P-L1-89.94,"Signature 100 Percent Colombian Coffee Supremo Bean Dark Roast-Fine Grind, 3 Pound (Pack Of 6)",Food & Beverage,138.99,1970-01-01,1970-01-01,138.99,Was Price,138.99,Yes,0.0,2038305,NETWORK_GEO,30.0,Seller Fulfilled,no restrictions,Ground Coffee,"[""Home Page"",""Food"",""Coffee"",""Ground Coffee""]",Kirkland Signature,2022-04-11,2049-12-30,2022-04-12,0,0.0,123.78,0.0,55.596000000000004
50,716837855866-C-W-H1-30.99,"Pepcid AC Maximum Strength Famotidine, Antacid, Acid Controller, Heartburn Relief 20 Mg, 125 Tablets",Medicine & Supplements,36.13,1970-01-01,1970-01-01,44.69,List Price,45.4,Yes,44.69,2038754,ALWAYS_TWO_DAY,2.0,WFS Eligible,no restrictions,Antacid Tablets,"[""Home Page"",""Health and Medicine"",""Digestive Health"",""Antacids and Heartburn Relief"",""Antacid Tablets""]",Pepcid,2023-07-24,2049-12-31,2022-08-05,7,5.0,36.13,0.0,14.452000000000002
51,043000080917-S-P-L1-5.98,"Kool-Aid Kool-Aid Summer Blast Jammers Boomin Berry Flavored Drink 40 X 6 Fl Oz Pouches, 240 Fluid Ounces (Pack Of 36)",Food & Beverage,33.99,1970-01-01,1970-01-01,0.0,Was Price,33.99,Yes,0.0,2038368,NETWORK_GEO,15.0,Seller Fulfilled,no restrictions,All Powdered Drink Mix,"[""Home Page"",""Food"",""Beverages"",""Powdered Drink Mixes"",""All Powdered Drink Mix""]",Kool-Aid,2022-08-20,2049-12-29,2022-08-21,0,0.0,30.5,0.0,13.596000000000002
52,051000119094-CB-P-L1-19.99,"V8 Original 100% Vegetable Juice, 5.5 fl oz Can (Pack of 48)",Food & Beverage,52.19,1970-01-01,1970-01-01,51.87,Was Price,52.19,Yes,0.0,2044491,NETWORK_GEO,18.0,Seller Fulfilled,no restrictions,Vegetable Juice,"[""Home Page"",""Food"",""Beverages"",""Juices"",""Vegetable Juice""]",V8,2022-03-27,2041-06-09,2017-08-10,1770,4.7,52.19,0.0,20.876
